# C0 translation review sheet generated from the verified catalog.
# id	offset	slot length	category	priority	duplicate of	translation	Japanese
C0-06966A	0x06966A	0x0049	event-dialogue	P2		translated	[DFT]なんだよ\n気がかわったのか?\n まかせてちょ[KATAKANA]ー[HIRAGANA]だい\n よんでみただけ[TER][CLR][NXT]ぞ········\n[NXT]がお前 [KATAKANA]オレ[HIRAGANA]を\nおちょくってんのか?
C0-0696B4	0x0696B4	0x0091	event-dialogue	P2		translated	[CLR]へっへっ ありがとよ\nものわかりのいい奴だな\n出世するよ お前は[FIN]いいか?見張りの注意を\n[KATAKANA]オレ[HIRAGANA]が ひいとくからさ\n與にある [PAL:02][KATAKANA]トロッコ[HIRAGANA][PAL:00]で\nここから にげな[FIN]いち·にの·さんで\n行動開始だぞ\n[NXT]ぞ···[NXT]ぎいいか?\n[PAU:3C]いち·[PAU:3C]にの·[PAU:3C]さん![NXT]が
C0-069746	0x069746	0x0022	npc-dialogue	P3		pending	[DFT]何やってんの!\n早く 行けってば!\n[NXT]ぎほれっ ほれっ![NXT]が
C0-0698ED	0x0698ED	0x002A	npc-dialogue	P3		pending	[DFT]にげだそうなんて考えてると\n與の おにいさんみたいに\n鉄球をつけちゃうよ!
C0-069918	0x069918	0x00CB	event-dialogue	P2		translated	[DFT]なんだ お前?\n新しいはたらき手か?\n そうで[KATAKANA]ー[HIRAGANA]す\n ちがいま[KATAKANA]ー[HIRAGANA]す[TER][DFT][CLR]そうか よかったよかった\n與に 先客がいるから\nそいつと 穴をほってよ[FIN][JMP][BYTE:AB][BYTE:99][DFT][CLR]そうなの?こまっちゃうなあ\nとりあえず はたらいててよ\n後で [KATAKANA]メタクラブ[HIRAGANA]さまに\nどうするか聞いておくからさ[FIN]え?なんで穴をほるかって?\n[KATAKANA]テ[HIRAGANA]···さがしもんなのっ!\n子供は よけいな心配を\nしなくていいのっ!
C0-069A59	0x069A59	0x003A	npc-dialogue	P3		translated	[DFT]まあ あきらめて働いてよ\nまじめに 働いたら\n君も [KATAKANA]ボク[HIRAGANA]たちのような\n戦闘員にしてもらえるかもよ˳
C0-069A94	0x069A94	0x0029	npc-dialogue	P3		translated	[DFT][KATAKANA]コラーッ[HIRAGANA]!\n[KATAKANA]チョロチョロ[HIRAGANA]してると\nお前にも 鉄球を\nつけちゃうぞ!
C0-069CC1	0x069CC1	0x0069	event-dialogue	P2		translated	[DFT]うぉ[KATAKANA]ー[HIRAGANA]い\nだれか そこにいるのかあ?\nちょっと [KATAKANA]ボイラー[HIRAGANA]の\n温度をあげてくれえ[FIN]温度のあげかたは わかるな?\nそこにある [PAL:02][KATAKANA]ボイラー[HIRAGANA]の\n[KATAKANA]スイッチ[HIRAGANA]をおすと\n温度があがる[PAL:00]からな˳
C0-069D2B	0x069D2B	0x0039	npc-dialogue	P3		translated	[DFT][KATAKANA]スイッチ[HIRAGANA]がわからんのか?\nさては 新入りだな?\nそこの 左與にある\n[KATAKANA]ボイラー[HIRAGANA]の所にあるだろう˳
C0-069DD2	0x069DD2	0x001B	npc-dialogue	P3		translated	[DFT]う[KATAKANA]ーーーーーーー[HIRAGANA]っ\nいい感じになってきたなあ˳
C0-069DF0	0x069DF0	0x0025	npc-dialogue	P3		translated	[DFT]う[KATAKANA]ーーーーーーー[HIRAGANA]っ\nう[KATAKANA]ーーーーーーー[HIRAGANA]っ\nきくな[KATAKANA]ーーーーー[HIRAGANA]っ!
C0-069E18	0x069E18	0x001F	npc-dialogue	P3		translated	[DFT]お···おい\nち···ちょっと\n温度あげすぎじゃないか?
C0-069E3A	0x069E3A	0x0027	npc-dialogue	P3		translated	[DFT]う[KATAKANA]ーーーーーーーー[HIRAGANA]っ\nそれ以上あげるのは\nやめろ[KATAKANA]ーーーーーー[HIRAGANA]っ!
C0-069F0C	0x069F0C	0x0047	npc-dialogue	P3		translated	[CLR]ˎがぐだP星ぐぽ[BYTE:A7][BYTE:9F]ぐ[CLR]ˎがぐだP星[DFT][KATAKANA]メタクラブ[HIRAGANA]!なにをしてやがる?\n定時報告の時間だぞ\n[KATAKANA]グズグズ[HIRAGANA]するんじゃねえぞ!
C0-069F54	0x069F54	0x016E	event-dialogue	P2		translated	[DFT][NXT]じ······ん?\n[NXT]が[KATAKANA]スクリーン[HIRAGANA]を\nまだなおしてねえのか?\nふんっ···まあいい[FIN]ところで [E2:0054]\nもう みつかったのか?\n はい\n なんのことでしょう?[TER][CLR]だったら何故 報告しねえんだ?\n[PAU:1E]ふんっ\n[PAU:1E]お前のことだ\nいつものでまかせだろう?[FIN]いいか?そのどうくつの中に\n[E2:0020]があるのは\nあきらかなんだ\n草の根わけても さがしだせ[FIN]ぐずぐずやってると\n[KATAKANA]カニ[HIRAGANA]なべに しちまうぞ!\n[JMP][BYTE:9E][BYTE:A0][CLR]なにを ねぼけてやがる?\nそれでも お前は\n[KATAKANA]ハッカー[HIRAGANA]の幹部の一員かあ?[FIN]いいか?そのどうくつの中に\n[E2:0000] あるのは\nあきらかなんだ!\n草の根わけても さがしだすんだよ[FIN]ぐずぐずやってると\n[KATAKANA]カニ[HIRAGANA]すきに しちまうぞ!\n[PAU:1E]わかったら さっさと行け\n次の報告は わすれるんじゃねえぞ!
C0-06A0C3	0x06A0C3	0x0038	npc-dialogue	P3		pending	[DFT]おいっ どこへ行くんだ?\nこの [KATAKANA]ブラックモア樣[HIRAGANA]を\n無視するとは\nお前も えらくなったじゃねえか˳
C0-06A171	0x06A171	0x001B	npc-dialogue	P3		pending	[DFT] 返事がない···\n のぼせているようだ···˳
C0-06A1A5	0x06A1A5	0x0028	npc-dialogue	P3		pending	[DFT] 泉質は 単純[KATAKANA]アルカリ泉[HIRAGANA]\n [KATAKANA]リウマチ[HIRAGANA]や かた[KATAKANA]コリ[HIRAGANA]にきく˳
C0-06A28F	0x06A28F	0x0033	event-dialogue	P2		pending	[DF4][E2:0744]いつめ!こいつめ!\nお前らなんかに\n負けないからなっ![FIN][PAU:1E]·····あっ·····˳[NXT]が
C0-06A2C3	0x06A2C3	0x0063	event-dialogue	P2		translated	[DFT][E2:073F]前 なかなかやるなあ\nまあ おれには\nかなわないかも しれないけどな![FIN]よし こっちにこいよ\n[PAU:1E]おれ [KATAKANA]ハッカー[HIRAGANA]のやつらの宝を\n見つけたんだ!\n特別に お前にもわけてやるよ˳
C0-06A327	0x06A327	0x0100	event-dialogue	P2		translated	[DFT][PAL:02][KATAKANA]メタクラブ[HIRAGANA]:\n[PAL:00]すみません すみません\nおみそれいたしやした[FIN]いやあ だんなぁ\nおつよいですねえ このぉ!\nいえね あっしは ほんの\n通りすがりのさわ[KATAKANA]ガニ[HIRAGANA]でして[FIN][KATAKANA]ハッカー[HIRAGANA]··とかいう奴らに\n改造されて\nあんな姿になってたんですよ[FIN]そいつらね あっしに\nこのどうくつの中にある\n[E2:006E]て名の宝石を\nさがせって言うんですよ[FIN]でも これが見つからなくて\n困っていた所なんですよ[FIN]だんなのおかげで\n助かっちゃいましたよ\n···これ お礼と言っちゃあ\nなんですけど···
C0-06A528	0x06A528	0x0095	event-dialogue	P2		translated	[DFT][PAL:02][KATAKANA]メタクラブ[HIRAGANA]:\n[PAL:00]なんだ お前は?\nこの こぞうの仲間かっ![FIN]お前たちが ここに入りこんで\nひっかきまわしてくれたせいで\nこっちは いろいろと\nさんざんな目にあったんだぞ![FIN]大切な仕事の\nじゃまをしてくれた[KATAKANA]バツ[HIRAGANA]だ!\nこの [KATAKANA]メタクラブ[HIRAGANA]さまが\nおしおきしてくれる!
C0-06A5BE	0x06A5BE	0x0039	npc-dialogue	P3		translated	[DFT][PAL:02][KATAKANA]メタクラブ[HIRAGANA]:\n[PAL:00]おとなしく帰れば いいものを\nまだこりないらしいな\nならば 今いちど おしおきだ!
C0-06A5F8	0x06A5F8	0x0039	event-dialogue	P2		translated	[DFT] [NAM:00]は\n[PAL:02] 1000[KATAKANA]トロン[HIRAGANA][PAL:00]を 手にいれた![TER][DFT]じゃ あっしはこれで···\nだんなも おきをつけて!
C0-06A632	0x06A632	0x0013	npc-dialogue	P3		pending	[DFT]おっと\nちょっくら ごめんなさいよ˳
C0-06A7A2	0x06A7A2	0x0047	npc-dialogue	P3		pending	[DFT] [KATAKANA]カール[HIRAGANA]は\n[PAL:02] 光る石版[PAL:00]を 手に入れた![TPL:D7][CLR][E2:077E]··なんだろ [KATAKANA]コレ[HIRAGANA]?\n[PAU:1E]でも [KATAKANA]スクラップ[HIRAGANA]より\nましだよな[TPL:]
C0-06A7EB	0x06A7EB	0x0036	npc-dialogue	P3		pending	[CLR]宝がないのは くやしいけど\nおもしろかったから いいか\nぼちぼち 帰るとするか\n[PAU:1E]じゃあ またなっ!
C0-06A822	0x06A822	0x004B	event-dialogue	P2		pending	[DFT][E2:07DC]じ············\n[NXT]がほとんど 中身が\nあけられてる···[FIN]あんなに 苦労したのに!\n[NXT]ぎちえっ\n[PAU:0A]ちえっ\n[PAU:0A]ちえっ[NXT]が
C0-06A86E	0x06A86E	0x003A	event-dialogue	P2		pending	[DFT][E2:073F]前には世話になったからな\n残っているのを\n山わけしようぜ[FIN]お前 先に\n好きな方をあけろよ˳
C0-06A8A9	0x06A8A9	0x0015	npc-dialogue	P3		pending	[DFT][E2:0754]やく あけろよ\nとろい奴だなあ˳
C0-06A92D	0x06A92D	0x003E	npc-dialogue	P3		pending	[DFT]今 [KATAKANA]メタクラブ樣[HIRAGANA]が\nしんにゅう者を ここに\n追いつめた所なんだ\n關係ない人は 立入り禁止だよ!
C0-06A9AB	0x06A9AB	0x0047	npc-dialogue	P3		pending	[DFT]ここは [KATAKANA]ハッカー幹部[HIRAGANA]の\n[PAL:02][KATAKANA]メタクラブ[HIRAGANA]さま[PAL:00]用の おふろだよ\n關係ない人を入れると\n[KATAKANA]ボク[HIRAGANA]が おこられちゃうんだ˳
C0-06A9F3	0x06A9F3	0x0028	npc-dialogue	P3		pending	[DFT]聞きわけのない子だなあ\n言っても わからない子は\nおしおきしちゃうぞ!
C0-06AA31	0x06AA31	0x0012	npc-dialogue	P3		pending	[DFT] とびらは かたくとざされている˳
C0-06AB30	0x06AB30	0x0154	event-dialogue	P2		translated	[DFT]どうしたの?君\nあぶないわよ\n最近 こわいお兄さんたちが\nうろうろしてるんだからね[FIN]え?あたし?あたしは\n大人だから 平気なの\n[PAU:1E]ほら [KATAKANA]バカ[HIRAGANA]なこと言ってないで\n早く帰りなさいよ[FIN]なあに?[PAU:1E]まだ何か用なの?\n[PAU:1E]···ははぁん\n[PAU:1E]さては ひとりで帰るのが\nこわくなったんでしょ?[FIN]なんなら いっしょに\n行ってあげてもいいわよ?\n わあい おねがいしま[KATAKANA]ー[HIRAGANA]す\n ひとりで帰るから いいよ[TER][CLR]まったく しょうがないわね\nあたしは [PAL:03][KATAKANA]ミント[HIRAGANA]\n[PAL:02][KATAKANA]ロココ町[HIRAGANA]の 事件記者[PAL:00]よ\n[PAU:1E]とりあえず よろしくね![FIN]じゃあ あたしは後ろから\nついていってあげるから\n君が 先に步きなさい\n[PAU:1E]···なによ[PAU:1E] 文句あるの?
C0-06AC85	0x06AC85	0x0034	npc-dialogue	P3		pending	[CLR]むっ!かわいくないのっ!\n人の好意を無にすると\nろくな大人にならないわよっ\n[PAU:3C]ぷんだっ!
C0-06AD9E	0x06AD9E	0x0037	event-dialogue	P2		translated	[DFT][E2:0445]っきから\nおなじ景色の所ばかり\n步いてない?[FIN]君って···ひょっとして\n[PAU:1E]方向おんち?
C0-06ADD6	0x06ADD6	0x0050	event-dialogue	P2		translated	[DFT][E2:0452]え···\nむこうに 何か見えない?\nあれ···家かしら?[FIN]··········\n[PAU:3C]悪いわね 君っ!\nここから先は\nひとりで 帰ってねっ!
C0-06AF3B	0x06AF3B	0x001D	npc-dialogue	P3		pending	[DFT][E2:0466]あん!ちょっとぉ\nこの[KATAKANA]ネズミ[HIRAGANA] どうにかしてよ!
C0-06AF59	0x06AF59	0x001F	npc-dialogue	P3		pending	[DFT][E2:047E]··え?\nあたしのかばんに\nねずみが いるですって!?
C0-06AF79	0x06AF79	0x0084	event-dialogue	P2		translated	[DFT][E2:047E]··かばんの中に\nねずみがいたなんて···[TPL:D7]···それより\n君 変な人形を見なかった?\n人形の後を あやしい男が\n追いかけて行ったのよ[FIN]ねずみに 足止めされていた間に\nどこかに行っちゃったかしら?\nこうしちゃいられないわ!
C0-06B05C	0x06B05C	0x006D	event-dialogue	P2		translated	[DFT][NXT]ぎあ·あなた [KATAKANA]ネズミ[HIRAGANA]のことばが\nわかるんで[KATAKANA]チュウ[HIRAGANA]か?\n[PAU:1E]だったら この女の人に\n話してほしい[KATAKANA]チュウ[HIRAGANA][FIN]うちの子が この人のかばんに\n入りこんで 出られなくなって\n困ってるんで[KATAKANA]チュウ[HIRAGANA]!
C0-06B14E	0x06B14E	0x000A	npc-dialogue	P3		pending	[DFT][KATAKANA]チュウチュウッ[HIRAGANA]
C0-06B159	0x06B159	0x0047	event-dialogue	P2		translated	[DFT]さっきは どうもありが[KATAKANA]チュウ[HIRAGANA]\nお礼に いいことを\n教えてあげま[KATAKANA]チュウ[HIRAGANA][FIN]そこの 左がわのかべを\n調べてみるといいで[KATAKANA]チュウ[HIRAGANA]˳
C0-06B1A1	0x06B1A1	0x0098	event-dialogue	P2		translated	[DFT]ここの人形たちは\n[PAL:02][KATAKANA]ネズミ[HIRAGANA]が苦手[PAL:00]なんで[KATAKANA]チュウ[HIRAGANA]\nでも ここの人形はみんな人間が\n姿を 変えられたもので[KATAKANA]チュウ[HIRAGANA][FIN]この [PAL:02]時計塔の地下[PAL:00]には\n人形たちの 親玉がいてそいつが\n人間を 人形に変えるんだって\n[KATAKANA]ママ[HIRAGANA]が 言ってた[KATAKANA]チュウ[HIRAGANA]˳
C0-06B277	0x06B277	0x0019	npc-dialogue	P3		pending	[DFT] [NAM:00]は\n[PAL:02] かくし通路[PAL:00]を みつけた!
C0-06B400	0x06B400	0x0030	npc-dialogue	P3		pending	[DFT][PAL:03]あら まだこりてないの?\nそんなに 仲間になりたいなら\nおのぞみどおりにしてあげるわ˳
C0-06B431	0x06B431	0x003F	npc-dialogue	P3		pending	[DFT][PAL:03]え?[PAU:1E]え?[PAU:1E]え?[PAU:1E][KATAKANA]ネズミ[HIRAGANA]!?\nいや[KATAKANA]ー[HIRAGANA]ん [KATAKANA]ネズミ[HIRAGANA]は苦手よぉっ!\n[PAU:1E][KATAKANA]マームラナ[HIRAGANA]さまぁっ!!![PAL:00]
C0-06B4A1	0x06B4A1	0x0063	event-dialogue	P2		translated	[DFT][PAL:03]くすくす\n[PAU:1E]ようこそ ぼうや\n[KATAKANA]アナタ[HIRAGANA]も [KATAKANA]マームラナ[HIRAGANA]さまに\n人形にされにきたの?[FIN]でもね [KATAKANA]マームラナ[HIRAGANA]さまは\n今 と[KATAKANA]ー[HIRAGANA]ってもおいそがしいの\nおとなしくお帰り [PAU:28]ぼうや˳
C0-06B505	0x06B505	0x0048	npc-dialogue	P3		pending	[DFT][PAL:03]またきたの?聞きわけのない子ね\n[PAU:1E]でも あきらめた方がいいわよ\n[KATAKANA]アナタ[HIRAGANA]なんか [KATAKANA]マームラナ[HIRAGANA]さまには\nかなわないんだから˳[PAL:00]
C0-06B5A6	0x06B5A6	0x000A	npc-dialogue	P3		pending	[DFT]\n[KATAKANA]チュウチュウ[HIRAGANA]
C0-06B5B1	0x06B5B1	0x0074	event-dialogue	P2		translated	[DFT]間にあってよかった[KATAKANA]チュウ[HIRAGANA]\nうちの子を助けてくれた\nお礼で[KATAKANA]チュウ[HIRAGANA][FIN]この先から 時計塔の地下に\nおりることができる[KATAKANA]チュウ[HIRAGANA]\n人形の姿をした 化物いる[KATAKANA]チュウ[HIRAGANA]\n気をつけた方がいい[KATAKANA]チュウ[HIRAGANA]˳
C0-06B72E	0x06B72E	0x0019	npc-dialogue	P3		pending	[DFT]え[KATAKANA]ー[HIRAGANA]ん\nか·[PAU:1E]からだが 動かないよぉっ!
C0-06B935	0x06B935	0x0084	event-dialogue	P2		translated	[DLY:02][STR:D9B886]ぅぐぽぱ[BYTE:BA]Ⅰ[DFT][PAL:03]きっと くると思ってたわ\n[PAU:1E]あなたも この石を\nさがしているんでしょ?[FIN]でもね [PAU:1E][KATAKANA]アタシ[HIRAGANA]のことを\n人形だからって [KATAKANA]バカ[HIRAGANA]にしちゃ[KATAKANA]ダメ[HIRAGANA]よ\n[KATAKANA]アタシ[HIRAGANA]は この石のおかげで\nこ[KATAKANA]ー[HIRAGANA]んなものに 変身できるのよ˳
C0-06B9BA	0x06B9BA	0x0043	npc-dialogue	P3		pending	[DFT][PAL:03]せっかくにげたのに お[KATAKANA]バカ[HIRAGANA]さんね\n[PAU:1E]でも あなたの石ももらえれば\nきっと もっと すごい力を\n使えるようになるわね˳
C0-06B9FE	0x06B9FE	0x0043	event-dialogue	P2		translated	[DFT] [NAM:00]は\n[PAL:02] 石2[PAL:00]を 手に入れた![NXT]が[TER][DFT] [NAM:00]は\n[PAL:02] 石2[PAL:00]を みつけた!\n だが 持ち物がいっぱいだった˳
C0-06BA42	0x06BA42	0x0031	npc-dialogue	P3		pending	[DFT][PAL:03]いや[KATAKANA]ー[HIRAGANA]んっ\n[PAU:3C]せっかく たいくつな人形から\n変身できたのにぃ·······[PAL:00]
C0-06BA74	0x06BA74	0x0031	npc-dialogue	P3		pending	[DF4][E2:083B]った あった\n[PAU:1E]きっと これだな\n[E2:0000] かくされている\n人形って言うのは···˳
C0-06BAA6	0x06BAA6	0x0097	event-dialogue	P2		translated	[DF4][PAL:03]うふふふ\nかわいい お[KATAKANA]バカ[HIRAGANA]さんね\nそんなに かんたんにはいかないわよ[FIN][KATAKANA]アタシ[HIRAGANA]の体にかくされた 石はね\n人形の[KATAKANA]アタシ[HIRAGANA]に\n不思誄な 力をくれたのよ\n[KATAKANA]アナタ[HIRAGANA]になんか あげられないわ[FIN]しばらく そうしてなさい\n後で [KATAKANA]アタシ[HIRAGANA]たちの\n仲間に 加えてあげるわね˳[PAL:00]
C0-06BC21	0x06BC21	0x00B9	engine-data	P3		translated	[CLR]いがぐだじがぐ[CLR]いがぐすが)ぐSに[CMD:FF]ぐだ:子[BYTE:B2]ぅ[DF5]どうであった [KATAKANA]イゴール[HIRAGANA]\n[PAU:1E]まことに たのもしい少年ではないか[FIN][PAL:02]だんなさま [PAU:1E]おどろきましたな\n[PAU:1E]あの人形には ほとほと\n手をやいておりましたのに···[FIN][PAL:00]これでこの館も 正しい時を\nきざむことが できるだろう\n[PAU:1E][KATAKANA]ラスク君[HIRAGANA]との やくそくも守れ\nようやく 安らかにねむれるな˳
C0-06BD1C	0x06BD1C	0x006F	event-dialogue	P2		translated	[DFT][E2:0481]きいたわっ!聞いたわっ!\n特[KATAKANA]ダネ[HIRAGANA]よっ![FIN][KATAKANA]ハッカー[HIRAGANA]の 目的は\n[E2:004E]かいう名の\n石っていうわけね!?\nいいわいいわ 記事になるわっ![FIN]さっそく町に帰って\n記事の用意をしなくちゃ!!
C0-06BDCC	0x06BDCC	0x0096	event-dialogue	P2		translated	[DF4][E2:0FC2]がくん!さがしたよ\nいや おかげでこしもずいぶん\nよくなってね[FIN]え?[KATAKANA]ティアトロン[HIRAGANA]を見つけた?\n[PAU:1E]···やれやれ まったく出番が\nなかったというわけか\n年よりはでしゃばるものではないな[FIN]一度 [KATAKANA]ロココ町[HIRAGANA]にもどらんかね?\n君には 話しておかねば\nならないこともあるしな˳
C0-06C086	0x06C086	0x0016	engine-data	P3		pending	[CLR]┌がぐく┌ぐS[CMD:F0][CMD:FF]ぐぎががんががぐぢろ司
C0-06C17D	0x06C17D	0x001C	npc-dialogue	P3		pending	[DFT]暗くて よく見えないけど\nなんか あやしい···˳
C0-06C19A	0x06C19A	0x0038	npc-dialogue	P3		pending	[DFT] [NAM:00]は[PAL:02][KATAKANA]カベ[HIRAGANA][PAL:00]を 調べた\n[PAU:14] よく見ると [KATAKANA]カベ[HIRAGANA]のむこうは\n かくし通路に なっていた!
C0-06C3BE	0x06C3BE	0x003C	npc-dialogue	P3		translated	[DFT][E2:043B]たしは この人を見てるから\n[PAL:02]この人の 犬をさがしてきて!\n[PAL:00]犬が 藥を持っているんですって˳
C0-06C3FB	0x06C3FB	0x002B	npc-dialogue	P3		translated	[DFT][E2:043E]らいじゃないの 君!\nよかったわ これでこの人も\n動けるようになるわね!
C0-06C427	0x06C427	0x006D	event-dialogue	P2		translated	[DF4][E2:0481]し!!まだいたの!?\n[PAU:28]···と 言いたい所だけど\nちょうどいい所に 来たわ[FIN]この人 [KATAKANA]ケガ[HIRAGANA]をしてるのよ\n[PAL:02]この人の 犬を\nさがしてきてくれない?\n[PAL:00]犬が 藥を持っているんですって˳
C0-06C495	0x06C495	0x0033	npc-dialogue	P3		translated	[DFT][E2:044B]ょっと きみぃ!?\n[KATAKANA]ケガ人[HIRAGANA]を 見捨てていくの?\n話ぐらい 聞いて行きなさいよ!
C0-06C4C9	0x06C4C9	0x007C	event-dialogue	P2		translated	[DFT][E2:0445]て [PAU:1E]取材再開だわ!\n[KATAKANA]ハッカー[HIRAGANA]が このやしきで\n何かしていることも わかったし[FIN]あいつらの 目的は何なのか\nつきとめて 記事にしなくちゃ!\n[PAU:1E]じゃあ[KATAKANA]フラボノ[HIRAGANA]さん おだいじに\n[PAU:1E][NAM:00]くんは 早く帰るのよ!
C0-06C631	0x06C631	0x0023	npc-dialogue	P3		pending	[DLY:02]ぽぃ[PAU:02]Sに[CMD:FF]ぐ[STR:72C586]ぅぐぽぃ[PAU:6B]ぐぽQ[PAU:6B][DFT]わん!わん!わん!
C0-06C655	0x06C655	0x0149	event-dialogue	P2		translated	[DFT]はて?どこかで会ったような···\n[PAU:1E]え?君が [NAM:00]くんか?\n[PAU:1E]なるほど おとうさんによく似てる[FIN]わしは [PAL:02][KATAKANA]フラボノ[HIRAGANA]\n[PAU:1E][PAL:00]君のとうさんの 知人でな\nとちゅうまで 君のとうさんと\nいっしょだったのだが···[FIN][KATAKANA]アタタ[HIRAGANA]···\n[PAU:1E][KATAKANA]ハッカー[HIRAGANA]とかいうやつらに\nおいかけられて この中へ\nにげこんだ時に こしをうってな[FIN][PAL:02]すまんが わしのかばんを\nさがしてきてくれんか?\n[PAL:00]わしの犬が 持っているはずだ\n白い犬で [KATAKANA]パセリ[HIRAGANA]というんだ[FIN][JMP]そ[BOX:D7E00F][KATAKANA]パセリ[HIRAGANA]は 白い小さな犬だよ\n背中に ふろしきをしょっている[FIN]あと [PAL:02]光るものが好き[PAL:00]でな\n光るものを 見せると\n喜んで 近寄ってくるんだ˳
C0-06C79F	0x06C79F	0x0021	npc-dialogue	P3		translated	[DFT][E2:0F3F]お\n[KATAKANA]パセリ[HIRAGANA]を連れてきてくれたか!\nこれで助かった!
C0-06C7C1	0x06C7C1	0x00F1	event-dialogue	P2		translated	[DFT][E2:0FDC]ぞ···[NXT]が[PAU:1E]あの娘さんは 行ったかね?\n[PAU:1E]やれやれ これでようやく\nおちついて話すことができる[FIN][NAM:00]くんは おとうさんに\n[E2:004E]いう 石のことを\n聞いたことがあるかね?[FIN]以前から 君のとうさんは\nそれを さがしていたらしいのだが\nどうも[KATAKANA]ハッカー[HIRAGANA]の奴らも それを\nさがしているいう話を 聞いてな[FIN]君のとうさんの話は また後だ\n今は [E2:0067]さがさねば\n[KATAKANA]ハッカー[HIRAGANA]に 先をこされてしまう\nさあ 早く···[TPL:D7]\nあ···いたたた···˳
C0-06C8B3	0x06C8B3	0x00B6	event-dialogue	P2		translated	[DFT][E2:0F0E]·どうもまだ こしが···\n[PAU:28][NAM:00]くん\nわしにかまわず 先に行ってくれ[TPL:D7]そうだ これをわたしておこう\n[PAL:02][KATAKANA]ライト[HIRAGANA][PAL:00]だ\nこれがあれば 暗い所を步くのも\n楽になるだろう˳[TPL:D7] [NAM:00]は\n[PAL:02] [KATAKANA]ライト[HIRAGANA][PAL:00]を 手に入れた![TER][DFT]君に わたしたいものが\nあるのだが···\nどうも 荷物がいっぱいのようだな\nはて どうしたものか···˳
C0-06C96A	0x06C96A	0x0057	event-dialogue	P2		translated	[DFT][E2:0F5D]うしわけないが わしは\n[PAL:02]西館の空き部屋[PAL:00]あたりで\n少し 休ませてもらうよ[FIN]用がある時は さがしてくれ\n[PAU:1E]\nやれやれ まったく\nめんぼくない˳
C0-06CA38	0x06CA38	0x0026	npc-dialogue	P3		pending	[DFT][PAL:03][NXT]ぎ\nふふふふ·····\n[PAU:3C][NXT]がこんにちは [PAU:1E]かわいいぼうや˳[PAL:00]
C0-06CA5F	0x06CA5F	0x006D	event-dialogue	P2		translated	[DFT][PAL:03]あら···\n[PAU:28]あなた いいものを持ってるわね\n[KATAKANA]キラキラ光[HIRAGANA]る すてきな石\n[PAU:1E]わたしの 持ってるのと同じ···[FIN]わたし それもほしいわ\n[PAU:1E]だってそれには とっても\nすてきな力が あるんですもの˳
C0-06CB27	0x06CB27	0x004E	event-dialogue	P2		translated	[DFT][PAL:03][NXT]ぎあららぁ···\n[PAU:1E][NXT]が全部 やっつけちゃったの?\n[PAU:3C]しょうがないわね\n今回は 見のがしてあげるわ[FIN]\nでも [PAU:32]あきらめないわよ˳[PAL:00]
C0-06CC7D	0x06CC7D	0x0012	npc-dialogue	P3	C0-06AA31	pending	[DFT] とびらは かたくとざされている˳
C0-06CD14	0x06CD14	0x0036	npc-dialogue	P3		pending	[DFT] 本には こう書かれていた\n[PAU:28][PAL:02]┌彼は 君の求めるものへと\n 君を みちびくだろう˳┘[PAL:00]
C0-06CDE5	0x06CDE5	0x0010	npc-dialogue	P3		pending	[DFT] [NAM:00]は 本を読んでみた˳
C0-06CED6	0x06CED6	0x00C8	event-dialogue	P2		translated	[DF4]ようこそ 我が館へ\n[PAU:1E]私は この館のあるじ\n[PAL:02][KATAKANA]ジャン[HIRAGANA]·[KATAKANA]ポール[HIRAGANA]·[KATAKANA]ベルモント[HIRAGANA]\n[KATAKANA]ポリンキー[HIRAGANA]はくしゃく[PAL:00]と言う者[FIN]この館をおとずれた 客人のため\n我が館を 案内しようと思い\nこの書物を 残すことにした[FIN]我が館は 今より[PAL:02]百年前[PAL:00]に\n忠実なるしもべ [KATAKANA]イゴール[HIRAGANA]が\n設計·建造したもので\n本館と西館に わかれている˳
C0-06CF9F	0x06CF9F	0x004B	npc-dialogue	P3		pending	[DF4]この井戸の中には 水はない\n中には 地下通路があり\n館のいたる所と つながっている\n[PAU:1E]まあ [PAU:1E]これは [PAU:1E]私のしゅみだ˳
C0-06CFEB	0x06CFEB	0x0083	event-dialogue	P2		translated	[DF4]本館と 西館には\n館の中からも 行くことができるが\nこの入口から わたりろうかを通り\n行くこともできるのだ[FIN]西館には [PAL:02]書庫[PAL:00]がある\n実は 私も自伝のようなものを\nしたためており\nその一部が そこにもおさめてある˳
C0-06D06F	0x06D06F	0x0088	event-dialogue	P2		translated	[DF4]そしてここが[PAL:02] 時計塔\n[PAU:3C][KATAKANA]ラスク[HIRAGANA][PAL:00]という青年が\n設計·建造してくれたものだ[FIN]客人よ [PAU:28]君が なにごとも恐れずに\nこの館を たんさくすると言うなら\n私は 君のために道を開こう\n[PAU:3C]さあ [PAU:1E]書物から顔をあげるがいい˳
C0-06D134	0x06D134	0x00F7	event-dialogue	P2		translated	[DFT][PAL:02] すばらしき我が日常\n     第一卷\n\n [KATAKANA]ポリンキー[HIRAGANA]はくしゃく·著[FIN]┌ついに 我が館が完成した\n この記念にこれから 我が日常を\n 書物に したためることにした[FIN] さて この館は 他の土地に\n 建てる予定であったのだが\n 何もないはずの その土地には\n 何かがあり 人をこばむのだ[FIN] しかし 私があった少年は\n こともなげに そこへと入ったのだ\n 実に この世には\n 不可解なことが 多いものだ˳┘[PAL:00]
