# English physical dialogue catalog; translation fields are intentionally blank until review.
record_id	region	start_offset	terminator_offset	length_without_terminator	raw_hex	control_summary	ascii_chars	line_breaks	page_breaks	has_highlight	classification	english	korean_translation	translation_status	required_hangul	missing_hangul	length_delta
EN-06A6B3	main-dialogue-2	0x06A6B3	0x06A743	144	D7 C3 02 4D 65 74 61 20 43 72 61 62 3A CD C3 00 48 6F 77 20 E3 0A 69 74 3F CD E3 6B E3 01 E3 10 6D 65 3F D1 49 20 68 61 64 20 61 6E 20 61 77 66 75 6C 20 74 69 6D 65 CD 62 65 63 61 E3 B9 6F 66 20 E3 01 67 75 79 73 CD 63 6F 6D 69 6E 67 20 69 6E 20 E3 A6 61 6E 64 CD 72 75 6D 6D 61 67 69 6E 67 20 61 72 6F 75 6E 64 21 D1 E3 0B 69 6E 74 65 72 72 75 70 74 69 6E 67 CD 61 6E 20 E3 FC 6A 6F 62 21 CD E3 06 70 75 6E 69 73 68 20 79 6F 75 21	00:1 01:2 02:1 06:1 0A:1 0B:1 10:1 A6:1 B9:1 C3:2 CD:7 D1:2 D7:1 E3:10 FC:1	111	7	2	True	confirmed-record	[TOP][YELLOW]Meta Crab:\n[/HIGHLIGHT]How [E3][0A]it?\n[E3]k[E3][01][E3][10]me?\fI had an awful time\nbeca[E3][B9]of [E3][01]guys\ncoming in [E3][A6]and\nrummaging around!\f[E3][0B]interrupting\nan [E3][FC]job!\n[E3][06]punish you!		pending			
EN-06A744	main-dialogue-2	0x06A744	0x06A796	82	D7 C3 02 4D 65 74 61 20 43 72 61 62 3A CD C3 00 E3 09 73 68 6F 75 6C 64 60 76 65 20 67 6F 6E 65 2E 20 59 6F 75 CD 68 61 76 65 6E 60 74 20 67 69 76 65 6E 20 75 70 3F 20 49 60 6C 6C CD 74 65 61 63 68 20 E3 01 61 6E 6F 74 E3 F6 6C 65 73 73 6F 6E 21	00:1 01:1 02:1 09:1 C3:2 CD:3 D7:1 E3:3 F6:1	68	3	0	True	confirmed-record	[TOP][YELLOW]Meta Crab:\n[/HIGHLIGHT][E3][09]should`ve gone. You\nhaven`t given up? I`ll\nteach [E3][01]anot[E3][F6]lesson!		pending			
EN-06A797	main-dialogue-2	0x06A797	0x06A7D5	62	D7 20 C2 00 20 72 65 63 65 69 76 65 64 20 C3 02 31 30 30 30 20 47 50 C3 00 21 CC D7 E3 03 67 65 74 74 69 6E 67 20 E3 4A 6F 66 20 68 65 72 65 21 CD 57 61 74 63 68 20 E3 05 73 74 65 70 21	00:2 02:1 03:1 05:1 C2:1 C3:2 CC:1 CD:1 D7:2 E3:3	47	1	0	True	confirmed-record	[TOP] [NAME] received [YELLOW]1000 GP[/HIGHLIGHT]![CC][TOP][E3][03]getting [E3]Jof here!\nWatch [E3][05]step!		pending			
EN-06A7D6	main-dialogue-2	0x06A7D6	0x06A7EC	22	D7 4F 68 21 CD 45 78 63 E3 B9 6D 65 20 61 20 6D 69 6E 75 74 65 2E	B9:1 CD:1 D7:1 E3:1	18	1	0	False	confirmed-record	[TOP]Oh!\nExc[E3][B9]me a minute.		pending			
EN-06A949	main-dialogue-2	0x06A949	0x06A985	60	D7 20 43 61 72 6C 20 E3 2F E3 00 C3 02 20 4C 69 74 68 6F 2E DE C3 00 D7 D0 E0 07 2E 2E 2E 20 E3 51 74 68 69 73 3F CD C9 1E E3 0D 62 65 74 74 65 72 20 E3 C9 CD 53 63 72 61 70 2E DE	00:2 02:1 07:1 0D:1 1E:1 C3:2 C9:2 CD:2 D0:1 D7:2 DE:2 E0:1 E3:5	37	2	0	True	confirmed-record	[TOP] Carl [E3]/[E3][00][YELLOW] Litho.[DE][/HIGHLIGHT][TOP][WIPE][SPEAKER:07]... [E3]Qthis?\n[C9][1E][E3][0D]better [E3][C9]\nScrap.[DE]		pending			
EN-06A986	main-dialogue-2	0x06A986	0x06A9BE	56	D7 D0 E3 45 6E 6F 20 74 72 65 61 73 75 72 65 2E 20 57 68 61 74 CD 61 20 73 68 61 6D 65 21 20 E3 36 E3 F4 4F 4B 2E CD E3 34 E3 CA 67 6F 2E CD C9 1E 53 65 65 20 79 61 21	1E:1 C9:1 CA:1 CD:3 D0:1 D7:1 E3:5 F4:1	42	3	0	False	confirmed-record	[TOP][WIPE][E3]Eno treasure. What\na shame! [E3]6[E3][F4]OK.\n[E3]4[E3][CA]go.\n[C9][1E]See ya!		pending			
EN-06A9BF	main-dialogue-2	0x06A9BF	0x06AA17	88	D7 E0 07 DC 06 2E 2E 2E 2E 2E 2E 2E 2E 2E 2E 2E 2E CD DC 00 E3 0D 61 6C 6D 6F 73 74 20 65 6D 70 74 79 2E 2E 2E D1 49 74 20 E3 16 73 6F 20 6D 75 63 68 20 77 6F 72 6B 21 CD DC 01 55 68 68 6E 2E 2E 2E CD C9 0A 55 68 68 6E 2E 2E 2E CD C9 0A 55 68 68 6E 2E 2E 2E DC 00	00:2 01:1 06:1 07:1 0A:2 0D:1 16:1 C9:2 CD:4 D1:1 D7:1 DC:4 E0:1 E3:2	64	4	1	False	confirmed-record	[TOP][SPEAKER:07][DC][06]............\n[DC][00][E3][0D]almost empty...\fIt [E3][16]so much work!\n[DC][01]Uhhn...\n[C9][0A]Uhhn...\n[C9][0A]Uhhn...[DC][00]		pending			
EN-06AA18	main-dialogue-2	0x06AA18	0x06AA5B	67	D7 E0 07 E3 03 6F 62 6C 69 67 65 64 20 74 6F 20 79 6F 75 2E CD 57 65 60 6C 6C 20 73 70 6C 69 74 20 77 68 61 74 60 73 CD E3 D6 6F 76 65 72 2E D1 E3 09 E3 30 E3 23 E3 01 77 61 6E 74 CD 66 69 72 73 74 2E	01:1 03:1 07:1 09:1 CD:3 D1:1 D6:1 D7:1 E0:1 E3:6	50	3	1	False	confirmed-record	[TOP][SPEAKER:07][E3][03]obliged to you.\nWe`ll split what`s\n[E3][D6]over.\f[E3][09][E3]0[E3]#[E3][01]want\nfirst.		pending			
EN-06AA5C	main-dialogue-2	0x06AA5C	0x06AA7C	32	D7 E0 07 51 75 69 63 6B 2C 20 6F 70 65 6E 20 69 74 21 CD E3 19 61 20 73 6C 6F 77 70 6F 6B 65 21	07:1 19:1 CD:1 D7:1 E0:1 E3:1	26	1	0	False	confirmed-record	[TOP][SPEAKER:07]Quick, open it!\n[E3][19]a slowpoke!		pending			
EN-06AAD4	main-dialogue-2	0x06AAD4	0x06AB38	100	D7 AA 6B 02 1D C8 AB 02 34 F0 FF BD 06 00 09 01 02 9D 06 00 02 CB 6B D7 E3 24 69 73 20 77 68 65 72 65 CD 4D 65 74 61 20 43 72 61 62 20 6C 6F 63 6B 73 20 75 70 CD 74 72 65 73 70 61 73 73 65 72 73 2E 20 55 6E 61 75 74 68 6F 72 69 7A 65 64 CD 70 65 72 73 6F 6E 73 20 E3 1C 66 6F 72 62 69 64 64 65 6E 21	00:2 01:1 02:4 06:2 09:1 1C:1 1D:1 9D:1 AA:1 AB:1 BD:1 C8:1 CB:1 CD:3 D7:2 E3:2 F0:1 FF:1	73	3	0	False	confirmed-record	[TOP][AA]k[02][1D][C8][AB][02]4[F0][FF][BD][06][00][09][01][02][9D][06][00][02][CB]k[TOP][E3]$is where\nMeta Crab locks up\ntrespassers. Unauthorized\npersons [E3][1C]forbidden!		pending			
EN-06AB78	main-dialogue-2	0x06AB78	0x06ABC7	79	D7 E3 24 69 73 20 E3 00 62 61 74 68 20 75 73 65 64 20 62 79 CD C3 02 4D 65 74 61 20 43 72 61 62 20 C3 00 E3 00 48 65 61 64 20 48 61 63 6B 65 72 2E CD 49 66 20 61 6E 79 E3 78 65 6C 73 65 20 67 6F 65 73 20 69 6E CD E3 06 E3 26 6D 61 64 2E	00:3 02:1 06:1 C3:2 CD:3 D7:1 E3:6	62	3	0	True	confirmed-record	[TOP][E3]$is [E3][00]bath used by\n[YELLOW]Meta Crab [/HIGHLIGHT][E3][00]Head Hacker.\nIf any[E3]xelse goes in\n[E3][06][E3]&mad.		pending			
EN-06ABC8	main-dialogue-2	0x06ABC8	0x06AC03	59	D7 E3 09 E3 67 6C 69 73 74 65 6E 20 74 6F CD 72 65 61 73 6F 6E 2E 20 4B 69 64 73 20 77 68 6F CD E3 07 75 6E 64 65 72 73 74 61 6E 64 CD E3 12 62 65 20 70 75 6E 69 73 68 65 64 21	07:1 09:1 12:1 CD:3 D7:1 E3:4	48	3	0	False	confirmed-record	[TOP][E3][09][E3]glisten to\nreason. Kids who\n[E3][07]understand\n[E3][12]be punished!		pending			
EN-06AC19	main-dialogue-2	0x06AC19	0x06AC32	25	D7 20 E3 04 64 6F 6F 72 20 69 73 20 63 6C 6F 73 65 64 20 74 69 67 68 74 2E	04:1 D7:1 E3:1	22	0	0	False	confirmed-record	[TOP] [E3][04]door is closed tight.		pending			
EN-06AD1F	main-dialogue-2	0x06AD1F	0x06AEA2	387	D7 E3 51 68 61 70 70 65 6E 65 64 3F 20 59 6F 75 60 72 65 CD 69 6E 20 64 61 6E 67 65 72 2E 20 E3 45 62 65 65 6E CD E3 3A 74 6F 75 67 68 2D E3 65 67 75 79 73 CD 68 61 6E 67 69 6E 67 20 E3 70 6C 61 74 65 6C 79 2E D1 4D 65 3F 20 E3 03 67 72 6F 77 6E 20 75 70 2C CD E3 06 62 65 20 4F 4B 2E CD C9 1E E3 17 E3 3D 6E 6F 6E 73 65 6E 73 65 2E 20 4A 75 73 74 CD 67 6F 20 68 6F 6D 65 20 72 69 67 68 74 20 61 77 61 79 2E D1 57 68 61 74 3F C9 1E 20 53 6F 6D 65 74 68 69 6E 67 20 65 6C 73 65 3F CD C9 1E 2E 2E 2E 20 48 61 20 68 61 2E CD C9 1E E3 34 E3 1C E3 01 61 66 72 61 69 64 20 74 6F CD 67 6F 20 68 6F 6D 65 20 62 79 20 79 6F 75 72 73 65 6C 66 3F D1 44 6F 20 E3 01 E3 29 6D 65 20 74 6F CD 67 6F 20 E3 10 79 6F 75 3F CD 20 59 65 73 2C 20 70 6C 65 61 73 65 2E CD 20 E3 BA E3 06 67 6F 20 61 6C 6F 6E 65 2E CC D0 4E 6F 74 68 69 6E 67 20 49 20 E3 14 64 6F 2E CD 49 20 61 6D 20 C3 03 4D 69 6E 74 C3 02 2C CD E3 9B 72 65 70 6F 72 74 65 72 C3 00 2E CD C9 1E E3 03 63 6F 75 6E 74 69 6E 67 20 6F 6E 20 79 6F 75 21 D1 E3 06 66 6F 6C 6C 6F 77 20 79 6F 75 2E CD E3 09 6C 65 61 64 20 E3 00 77 61 79 2E CD C9 1E 2E 2E 2E 20 49 73 20 74 68 65 72 65 C9 1E 20 61 20 70 72 6F 62 6C 65 6D 3F	00:2 01:2 02:1 03:3 06:3 09:1 10:1 14:1 17:1 1C:1 1E:7 9B:1 BA:1 C3:3 C9:7 CC:1 CD:17 D0:1 D1:4 D7:1 E3:23	305	17	4	True	confirmed-record	[TOP][E3]Qhappened? You`re\nin danger. [E3]Ebeen\n[E3]:tough-[E3]eguys\nhanging [E3]plately.\fMe? [E3][03]grown up,\n[E3][06]be OK.\n[C9][1E][E3][17][E3]=nonsense. Just\ngo home right away.\fWhat?[C9][1E] Something else?\n[C9][1E]... Ha ha.\n[C9][1E][E3]4[E3][1C][E3][01]afraid to\ngo home by yourself?\fDo [E3][01][E3])me to\ngo [E3][10]you?\n Yes, please.\n [E3][BA][E3][06]go alone.[CC][WIPE]Nothing I [E3][14]do.\nI am [PINK]Mint[YELLOW],\n[E3][9B]reporter[/HIGHLIGHT].\n[C9][1E][E3][03]counting on you!\f[E3][06]follow you.\n[E3][09]lead [E3][00]way.\n[C9][1E]... Is there[C9][1E] a problem?		pending			
EN-06AEE9	main-dialogue-2	0x06AEE9	0x06B011	296	D7 E3 2E E3 09 61 67 61 69 6E 3F CD 49 66 20 E3 01 E3 29 73 6F 6D 65 74 68 69 6E 67 2C CD 73 70 65 61 6B 20 75 70 21 CD 41 72 65 6E 60 74 20 E3 01 61 20 6D 61 6E 21 3F D1 49 66 20 E3 01 E3 29 6D 65 20 74 6F 20 67 6F CD E3 10 79 6F 75 2C 20 73 61 79 20 73 6F 21 21 CD 20 E3 8C 67 6F 2E CD 20 49 20 E3 14 67 6F 20 61 6C 6F 6E 65 2E CC 00 00 68 00 00 02 75 C6 83 02 CC 02 0B 4F 00 61 AF 02 13 1A 01 76 AF 02 13 10 01 B0 AF 6B 02 0C 56 10 50 00 9E AF 02 0C 55 10 51 00 88 AF 80 D9 02 34 50 FF 02 D0 14 00 02 1D D3 AF 02 33 50 FF 02 0A 51 80 80 C3 02 34 50 FF 02 D0 14 00 02 1D 12 B0 02 0A 50 80 80 B1 02 0B 54 80 BD AF 02 0A 54 80 02 B2 6B 02 0C 55 20 51 00 CC AF 02 0A 55 80 02 B2 6B 02 0A 56 80 02 B2 6B D7 E0 04 48 61 76 65 6E 60 74 20 77 65 20 73 65 65 6E CD E3 0E E3 93 62 65 66 6F 72 65 3F D1 E3 73 79 6F 75 72 CD C9 1E 73 65 6E 73 65 20 6F 66 20 64 69 72 65 63 74 69 6F 6E 2E 2E 2E 3F	00:10 01:5 02:24 04:1 09:1 0A:5 0B:2 0C:3 0E:1 10:4 12:1 13:2 14:3 1A:1 1D:2 1E:1 80:9 83:1 88:1 8C:1 93:1 9E:1 AF:8 B0:2 B1:1 B2:3 BD:1 C3:1 C6:1 C9:1 CC:3 CD:8 D0:2 D1:2 D3:1 D7:2 D9:1 E0:1 E3:13 FF:3	162	8	2	True	confirmed-record	[TOP][E3].[E3][09]again?\nIf [E3][01][E3])something,\nspeak up!\nAren`t [E3][01]a man!?\fIf [E3][01][E3])me to go\n[E3][10]you, say so!!\n [E3][8C]go.\n I [E3][14]go alone.[CC][00][00]h[00][00][02]u[C6][83][02][CC][02][0B]O[00]a[AF][02][13][1A][01]v[AF][02][13][10][01][B0][AF]k[02][0C]V[10]P[00][9E][AF][02][0C]U[10]Q[00][88][AF][80][TOP2][02]4P[FF][02][WIPE][14][00][02][1D][D3][AF][02]3P[FF][02][0A]Q[80][80][YELLOW]4P[FF][02][WIPE][14][00][02][1D][12][B0][02][0A]P[80][80][B1][02][0B]T[80][BD][AF][02][0A]T[80][02][B2]k[02][0C]U Q[00][CC][AF][02][0A]U[80][02][B2]k[02][0A]V[80][02][B2]k[TOP][SPEAKER:04]Haven`t we seen\n[E3][0E][E3][93]before?\f[E3]syour\n[C9][1E]sense of direction...?		pending			
EN-06B012	main-dialogue-2	0x06B012	0x06B06D	91	D7 E0 04 48 65 79 2E 2E 2E 20 44 6F 20 79 6F 75 CD E3 5E E3 21 74 68 65 72 65 3F CD 49 73 20 69 74 20 61 20 68 6F 75 73 65 3F D1 2E 2E 2E 2E 2E 2E 2E 2E 2E 2E CD C9 3C E3 0B 74 65 72 72 69 62 6C 65 21 CD E3 09 E3 14 67 6F 20 68 6F 6D 65 CD 61 6C E3 78 E3 1F 68 65 72 65 21	04:1 09:1 0B:1 14:1 1F:1 C9:1 CD:5 D1:1 D7:1 E0:1 E3:7	70	5	1	False	confirmed-record	[TOP][SPEAKER:04]Hey... Do you\n[E3]^[E3]!there?\nIs it a house?\f..........\n[C9]<[E3][0B]terrible!\n[E3][09][E3][14]go home\nal[E3]x[E3][1F]here!		pending			
EN-06B182	main-dialogue-2	0x06B182	0x06B19B	25	D7 E0 04 48 65 79 21 20 E3 A5 72 69 64 20 6F 66 CD E3 0E 6D 6F 75 73 65 21	04:1 0E:1 A5:1 CD:1 D7:1 E0:1 E3:2	17	1	0	False	confirmed-record	[TOP][SPEAKER:04]Hey! [E3][A5]rid of\n[E3][0E]mouse!		pending			
EN-06B19C	main-dialogue-2	0x06B19C	0x06B1BA	30	D7 E0 04 2E 2E 2E 20 57 68 61 74 3F CD E3 45 61 CD E3 90 69 6E 20 6D 79 20 62 61 67 3F 21	04:1 90:1 CD:2 D7:1 E0:1 E3:2	22	2	0	False	confirmed-record	[TOP][SPEAKER:04]... What?\n[E3]Ea\n[E3][90]in my bag?!		pending			
EN-06B1BB	main-dialogue-2	0x06B1BB	0x06B251	150	D7 E0 04 2E 2E 2E 20 E3 09 73 61 79 20 E3 4B 77 61 73 CD 61 20 E3 90 69 6E 20 6D 79 20 62 61 67 2E 2E 2E DE D7 2E 2E 2E 20 41 6E 79 77 61 79 2C 20 E3 02 79 6F 75 CD 73 65 65 6E 20 E3 00 73 74 72 61 6E 67 65 20 64 6F 6C 6C 73 3F CD E3 45 61 20 E3 74 6D 61 6E CD 66 6F 6C 6C 6F 77 69 6E 67 20 E3 AD 61 72 6F 75 6E 64 2E D1 E3 CE E3 94 61 20 E3 90 67 6F CD 69 6E 20 61 20 63 6F 6E 66 69 6E 65 64 20 73 70 61 63 65 3F CD 49 20 E3 07 E3 56 74 68 69 73 21	00:1 02:1 04:1 07:1 09:1 90:2 94:1 AD:1 CD:6 CE:1 D1:1 D7:2 DE:1 E0:1 E3:13	116	6	1	False	confirmed-record	[TOP][SPEAKER:04]... [E3][09]say [E3]Kwas\na [E3][90]in my bag...[DE][TOP]... Anyway, [E3][02]you\nseen [E3][00]strange dolls?\n[E3]Ea [E3]tman\nfollowing [E3][AD]around.\f[E3][CE][E3][94]a [E3][90]go\nin a confined space?\nI [E3][07][E3]Vthis!		pending			
EN-06B2A8	main-dialogue-2	0x06B2A8	0x06B2B0	8	D7 53 71 75 65 61 6B 21	D7:1	7	0	0	False	confirmed-record	[TOP]Squeak!		pending			
EN-06B2B1	main-dialogue-2	0x06B2B1	0x06B329	120	D7 DC 01 59 6F 75 2E 2E 2E 20 E3 09 73 70 65 61 6B 20 4D 6F 75 73 65 2C CD E3 07 79 6F 75 3F 20 53 71 75 65 61 6B 3F CD C9 1E E3 34 49 20 E3 29 74 6F 20 73 70 65 61 6B 20 74 6F CD 68 65 72 2E 20 53 71 75 65 61 6B 21 D1 4D 79 20 E3 39 E3 78 69 73 20 74 72 61 70 70 65 64 CD 69 6E 20 E3 F6 62 61 67 2E 20 E3 03 73 6F CD 75 70 73 65 74 21 20 53 71 75 65 61 6B 21	01:1 03:1 07:1 09:1 1E:1 C9:1 CD:5 D1:1 D7:1 DC:1 E3:8 F6:1	97	5	1	False	confirmed-record	[TOP][DC][01]You... [E3][09]speak Mouse,\n[E3][07]you? Squeak?\n[C9][1E][E3]4I [E3])to speak to\nher. Squeak!\fMy [E3]9[E3]xis trapped\nin [E3][F6]bag. [E3][03]so\nupset! Squeak!		pending			
EN-06B3AE	main-dialogue-2	0x06B3AE	0x06B3BE	16	D7 53 71 75 65 61 6B 21 20 53 71 75 65 61 6B 21	D7:1	15	0	0	False	confirmed-record	[TOP]Squeak! Squeak!		pending			
EN-06B3BF	main-dialogue-2	0x06B3BF	0x06B41B	92	D7 E3 7C 79 6F 75 21 20 53 71 75 65 61 6B 21 20 49 6E CD 65 78 63 68 61 6E 67 65 2C 20 E3 06 E3 4F 79 6F 75 CD 73 6F 6D 65 74 68 69 6E 67 2E 20 53 71 75 65 61 6B 21 D1 E3 D0 61 20 E3 5D E3 C6 61 74 20 74 68 65 CD 6C 65 66 74 2D 68 E3 08 77 61 6C 6C 2E 20 53 71 75 65 61 6B 21	06:1 08:1 C6:1 CD:3 D0:1 D1:1 D7:1 E3:7	76	3	1	False	confirmed-record	[TOP][E3]|you! Squeak! In\nexchange, [E3][06][E3]Oyou\nsomething. Squeak!\f[E3][WIPE]a [E3]][E3][C6]at the\nleft-h[E3][08]wall. Squeak!		pending			
EN-06B41C	main-dialogue-2	0x06B41C	0x06B4D0	180	D7 54 68 65 73 65 20 64 6F 6C 6C 73 20 63 61 6E 60 74 CD C3 02 62 65 61 74 20 6D 69 63 65 C3 00 2E 20 53 71 75 65 61 6B 21 CD E3 36 E3 71 6F 66 20 E3 00 68 75 6D 61 6E 73 20 68 61 76 65 CD 74 75 72 6E 65 64 20 69 6E 74 6F 20 64 6F 6C 6C 73 21 20 53 71 75 65 61 6B 21 D1 C3 02 42 65 6C 6F 77 20 E3 00 43 6C 6F 63 6B 20 54 6F 77 65 72 CD C3 00 E3 00 50 72 69 6E 63 65 20 6F 66 20 44 6F 6C 6C 73 CD 69 73 20 74 75 72 6E 69 6E 67 20 68 75 6D 61 6E 73 CD 69 6E 74 6F 20 64 6F 6C 6C 73 2E D1 4D 61 6D 61 20 E3 D3 6D 65 2E 20 53 71 75 65 61 6B 21	00:5 02:2 C3:4 CD:6 D1:2 D3:1 D7:1 E3:6	153	6	2	True	confirmed-record	[TOP]These dolls can`t\n[YELLOW]beat mice[/HIGHLIGHT]. Squeak!\n[E3]6[E3]qof [E3][00]humans have\nturned into dolls! Squeak!\f[YELLOW]Below [E3][00]Clock Tower\n[/HIGHLIGHT][E3][00]Prince of Dolls\nis turning humans\ninto dolls.\fMama [E3][D3]me. Squeak!		pending			
EN-06B50E	main-dialogue-2	0x06B50E	0x06B52D	31	D7 20 C2 00 20 E3 2F 74 68 65 CD C3 02 20 53 65 63 72 65 74 20 50 61 73 73 61 67 65 21 C3 00	00:2 02:1 C2:1 C3:2 CD:1 D7:1 E3:1	22	1	0	True	confirmed-record	[TOP] [NAME] [E3]/the\n[YELLOW] Secret Passage![/HIGHLIGHT]		pending			
EN-06B69D	main-dialogue-2	0x06B69D	0x06B6E3	70	D7 C3 03 E3 09 E3 8D 68 61 76 65 6E 60 74 20 68 61 64 CD 65 6E 6F 75 67 68 3F 20 49 66 20 E3 01 77 61 6E 74 CD 74 6F 20 6A 6F 69 6E 20 75 73 20 E3 15 6D 75 63 68 2C CD 77 65 60 6C 6C 20 6C 65 74 20 79 6F 75 2E	01:1 03:1 09:1 15:1 8D:1 C3:1 CD:3 D7:1 E3:4	56	3	0	True	confirmed-record	[TOP][PINK][E3][09][E3][8D]haven`t had\nenough? If [E3][01]want\nto join us [E3][15]much,\nwe`ll let you.		pending			
EN-06B6E4	main-dialogue-2	0x06B6E4	0x06B72C	72	D7 C3 03 57 68 61 74 3F C9 1E 20 57 68 61 74 3F C9 1E 20 57 68 61 74 3F C9 1E 20 41 20 6D 6F 75 73 65 21 3F CD 55 67 68 21 20 49 20 E3 0F 62 65 61 74 20 6D 69 63 65 21 CD C9 1E 4D 61 6D 75 72 61 6E 61 21 21 21 C3 00	00:1 03:1 0F:1 1E:4 C3:2 C9:4 CD:2 D7:1 E3:1	55	2	0	True	confirmed-record	[TOP][PINK]What?[C9][1E] What?[C9][1E] What?[C9][1E] A mouse!?\nUgh! I [E3][0F]beat mice!\n[C9][1E]Mamurana!!![/HIGHLIGHT]		pending			
EN-06B75D	main-dialogue-2	0x06B75D	0x06B7C3	102	D7 C3 03 54 65 65 20 68 65 65 20 68 65 65 2E CD C9 1E 57 65 6C 63 6F 6D 65 2C 20 73 6F 6E 6E 79 2E CD 4D 61 6D 75 72 61 6E 61 20 74 75 72 6E 65 64 20 79 6F 75 CD 69 6E 74 6F 20 61 20 64 6F 6C 6C 2C 20 74 6F 6F 3F D1 E3 36 4D 61 6D 75 72 61 6E 61 20 69 73 CD E3 96 62 75 73 79 2E 2E 2E CD E3 A5 6F 75 74 2E	03:1 1E:1 96:1 A5:1 C3:1 C9:1 CD:5 D1:1 D7:1 E3:3	86	5	1	True	confirmed-record	[TOP][PINK]Tee hee hee.\n[C9][1E]Welcome, sonny.\nMamurana turned you\ninto a doll, too?\f[E3]6Mamurana is\n[E3][96]busy...\n[E3][A5]out.		pending			
EN-06B7C4	main-dialogue-2	0x06B7C4	0x06B7FF	59	D7 C3 03 42 61 63 6B 20 61 67 61 69 6E 3F 20 46 6F 6F 6C 21 CD C9 1E 47 69 76 65 20 75 70 21 20 E3 0B 6E 6F CD 6D 61 74 63 68 20 E3 0C 6D 65 21 CD 4E 6F 20 E3 78 69 73 21 C3 00	00:1 03:1 0B:1 0C:1 1E:1 C3:2 C9:1 CD:3 D7:1 E3:3	44	3	0	True	confirmed-record	[TOP][PINK]Back again? Fool!\n[C9][1E]Give up! [E3][0B]no\nmatch [E3][0C]me!\nNo [E3]xis![/HIGHLIGHT]		pending			
EN-06B858	main-dialogue-2	0x06B858	0x06B869	17	D7 CD 53 71 75 65 61 6B 21 20 53 71 75 65 61 6B 21	CD:1 D7:1	15	1	0	False	confirmed-record	[TOP]\nSqueak! Squeak!		pending			
EN-06B86A	main-dialogue-2	0x06B86A	0x06B8F4	138	D7 E3 5B 69 6E 20 74 69 6D 65 21 20 53 71 75 65 61 6B 21 CD E3 09 E3 95 6D 79 20 E3 39 6F 6E 65 2E CD E3 7C 79 6F 75 21 20 53 71 75 65 61 6B 21 D1 E3 09 E3 14 E3 26 62 65 6C 6F 77 20 74 68 65 CD 54 6F 77 65 72 20 E3 1F E3 C3 74 68 65 72 65 2E D1 53 71 75 65 61 6B 21 20 E3 48 61 72 65 CD 67 68 6F 73 74 73 20 73 68 61 70 65 64 20 E3 2D 64 6F 6C 6C 73 2C CD 62 65 20 63 61 72 65 66 75 6C 21 20 53 71 75 65 61 6B 21	09:2 14:1 1F:1 74:1 95:1 C3:1 CD:5 D1:2 D7:1 E3:12	111	5	2	False	confirmed-record	[TOP][E3][in time! Squeak!\n[E3][09][E3][95]my [E3]9one.\n[E3]|you! Squeak!\f[E3][09][E3][14][E3]&below the\nTower [E3][1F][E3][C3:74]here.\fSqueak! [E3]Hare\nghosts shaped [E3]-dolls,\nbe careful! Squeak!		pending			
EN-06B9FD	main-dialogue-2	0x06B9FD	0x06BA12	21	D7 41 68 21 CD 49 2E 2E 2E 20 C9 1E 49 20 E3 0F 6D 6F 76 65 21	0F:1 1E:1 C9:1 CD:1 D7:1 E3:1	15	1	0	False	confirmed-record	[TOP]Ah!\nI... [C9][1E]I [E3][0F]move!		pending			
EN-06BC2D	main-dialogue-2	0x06BC2D	0x06BCA3	118	D7 C3 03 49 20 E3 6A 79 6F 75 60 64 20 63 6F 6D 65 2E CD C9 1E E3 6B E3 01 E3 65 E3 0C 74 68 69 73 CD 73 74 6F 6E 65 2C 20 74 6F 6F 3F D1 42 75 74 2C C9 1E 20 E3 07 74 72 79 20 74 6F 20 66 6F 6F 6C 20 6D 65 CD E3 35 62 65 63 61 E3 B9 E3 03 61 20 64 6F 6C 6C 2E CD 49 20 E3 14 E3 7B 73 68 61 70 65 CD 74 68 61 6E 6B 73 20 74 6F 20 E3 0E 73 74 6F 6E 65 2E	01:1 03:2 07:1 0C:1 0E:1 14:1 1E:2 B9:1 C3:1 C9:2 CD:5 D1:1 D7:1 E3:12	86	5	1	True	confirmed-record	[TOP][PINK]I [E3]jyou`d come.\n[C9][1E][E3]k[E3][01][E3]e[E3][0C]this\nstone, too?\fBut,[C9][1E] [E3][07]try to fool me\n[E3]5beca[E3][B9][E3][03]a doll.\nI [E3][14][E3]{shape\nthanks to [E3][0E]stone.		pending			
EN-06BCA4	main-dialogue-2	0x06BCA4	0x06BCDE	58	D7 C3 03 45 76 65 6E 20 69 66 20 E3 01 72 61 6E 2C CD C9 1E 69 66 20 49 20 E3 26 E3 05 73 74 6F 6E 65 CD E3 06 62 65 20 61 62 6C 65 20 74 6F CD E3 B9 E3 C1 70 6F 77 65 72 2E	01:1 03:1 05:1 06:1 1E:1 B9:1 C1:1 C3:1 C9:1 CD:3 D7:1 E3:6	39	3	0	True	confirmed-record	[TOP][PINK]Even if [E3][01]ran,\n[C9][1E]if I [E3]&[E3][05]stone\n[E3][06]be able to\n[E3][B9][E3][C1]power.		pending			
